Localidade;País;Região;UF;Município;Medida;Docentes;Docentes
Brasil;Brasil;;;;Total;2315616;
Brasil;Brasil;;;;Federal;36867;36867
Brasil;Brasil;;;;Estadual;682504;682504
Brasil;Brasil;;;;Municipal;1216071;1216071
Brasil;Brasil;;;;Privada;557322;557322
Centro-Oeste;Brasil;Centro-Oeste;;;Total;162664;
Centro-Oeste;Brasil;Centro-Oeste;;;Federal;3605;3605
Centro-Oeste;Brasil;Centro-Oeste;;;Estadual;64995;64995
Centro-Oeste;Brasil;Centro-Oeste;;;Municipal;68394;68394
Centro-Oeste;Brasil;Centro-Oeste;;;Privada;37974;37974
Nordeste;Brasil;Nordeste;;;Total;635889;
Nordeste;Brasil;Nordeste;;;Federal;11522;11522
Nordeste;Brasil;Nordeste;;;Estadual;127947;127947
Nordeste;Brasil;Nordeste;;;Municipal;411633;411633
Nordeste;Brasil;Nordeste;;;Privada;134978;134978
Norte;Brasil;Norte;;;Total;200423;
Norte;Brasil;Norte;;;Federal;4116;4116
Norte;Brasil;Norte;;;Estadual;62291;62291
Norte;Brasil;Norte;;;Municipal;123132;123132
Norte;Brasil;Norte;;;Privada;24646;24646
Sudeste;Brasil;Sudeste;;;Total;966725;
Sudeste;Brasil;Sudeste;;;Federal;11546;11546
Sudeste;Brasil;Sudeste;;;Estadual;316359;316359
Sudeste;Brasil;Sudeste;;;Municipal;433346;433346
Sudeste;Brasil;Sudeste;;;Privada;281406;281406
Sul;Brasil;Sul;;;Total;350892;
Sul;Brasil;Sul;;;Federal;6096;6096
Sul;Brasil;Sul;;;Estadual;111146;111146
Sul;Brasil;Sul;;;Municipal;179808;179808
Sul;Brasil;Sul;;;Privada;78494;78494